,Nat_Dex,Name,Type,Files
62,#043,Oddish,Poison,Poison-043Oddish.png
63,#044,Gloom,Grass,Grass-044Gloom.png
64,#044,Gloom,Poison,Poison-044Gloom.png
65,#045,Vileplume,Grass,Grass-045Vileplume.png
66,#045,Vileplume,Poison,Poison-045Vileplume.png
67,#046,Paras,Bug,Bug-046Paras.png
68,#046,Paras,Grass,Grass-046Paras.png
69,#047,Parasect,Bug,Bug-047Parasect.png
70,#047,Parasect,Grass,Grass-047Parasect.png
71,#048,Venonat,Bug,Bug-048Venonat.png
72,#048,Venonat,Poison,Poison-048Venonat.png
73,#049,Venomoth,Bug,Bug-049Venomoth.png
74,#049,Venomoth,Poison,Poison-049Venomoth.png
75,#050,Diglett,Ground,Ground-050Diglett.png
76,#051,Dugtrio,Ground,Ground-051Dugtrio.png
77,#052,Meowth,Normal,Normal-052Meowth.png
78,#053,Persian,Normal,Normal-053Persian.png
79,#054,Psyduck,Water,Water-054Psyduck.png
80,#055,Golduck,Water,Water-055Golduck.png
81,#056,Mankey,Fighting,Fighting-056Mankey.png
82,#057,Primeape,Fighting,Fighting-057Primeape.png
83,#058,Growlithe,Fire,Fire-058Growlithe.png
84,#059,Arcanine,Fire,Fire-059Arcanine.png
85,#060,Poliwag,Water,Water-060Poliwag.png
86,#061,Poliwhirl,Water,Water-061Poliwhirl.png
87,#062,Poliwrath,Water,Water-062Poliwrath.png
88,#062,Poliwrath,Fighting,Fighting-062Poliwrath.png
89,#063,Abra,Psychic,Psychic-063Abra.png
90,#064,Kadabra,Psychic,Psychic-064Kadabra.png
91,#065,Alakazam,Psychic,Psychic-065Alakazam.png
92,#066,Machop,Fighting,Fighting-066Machop.png
93,#067,Machoke,Fighting,Fighting-067Machoke.png
94,#068,Machamp,Fighting,Fighting-068Machamp.png
95,#069,Bellsprout,Grass,Grass-069Bellsprout.png
96,#069,Bellsprout,Poison,Poison-069Bellsprout.png
97,#070,Weepinbell,Grass,Grass-070Weepinbell.png
98,#070,Weepinbell,Poison,Poison-070Weepinbell.png
99,#071,Victreebel,Grass,Grass-071Victreebel.png
100,#071,Victreebel,Poison,Poison-071Victreebel.png
101,#072,Tentacool,Water,Water-072Tentacool.png
102,#072,Tentacool,Poison,Poison-072Tentacool.png
103,#073,Tentacruel,Water,Water-073Tentacruel.png
104,#073,Tentacruel,Poison,Poison-073Tentacruel.png
105,#074,Geodude,Rock,Rock-074Geodude.png
106,#074,Geodude,Ground,Ground-074Geodude.png
107,#075,Graveler,Rock,Rock-075Graveler.png
108,#075,Graveler,Ground,Ground-075Graveler.png
109,#076,Golem,Rock,Rock-076Golem.png
110,#076,Golem,Ground,Ground-076Golem.png
111,#077,Ponyta,Fire,Fire-077Ponyta.png
112,#078,Rapidash,Fire,Fire-078Rapidash.png
113,#079,Slowpoke,Water,Water-079Slowpoke.png
114,#079,Slowpoke,Psychic,Psychic-079Slowpoke.png
115,#080,Slowbro,Water,Water-080Slowbro.png
116,#080,Slowbro,Psychic,Psychic-080Slowbro.png
117,#081,Magnemite,Electric,Electric-081Magnemite.png
118,#081,Magnemite,Steel,Steel-081Magnemite.png
119,#082,Magneton,Electric,Electric-082Magneton.png
120,#082,Magneton,Steel,Steel-082Magneton.png
121,#083,Farfetch'd,Normal,Normal-083Farfetch%27d.png
122,#083,Farfetch'd,Flying,Flying-083Farfetch%27d.png
123,#084,Doduo,Normal,Normal-084Doduo.png
124,#084,Doduo,Flying,Flying-084Doduo.png
125,#085,Dodrio,Normal,Normal-085Dodrio.png
126,#085,Dodrio,Flying,Flying-085Dodrio.png
127,#086,Seel,Water,Water-086Seel.png
128,#087,Dewgong,Water,Water-087Dewgong.png
129,#087,Dewgong,Ice,Ice-087Dewgong.png
130,#088,Grimer,Poison,Poison-088Grimer.png
131,#089,Muk,Poison,Poison-089Muk.png
132,#090,Shellder,Water,Water-090Shellder.png
133,#091,Cloyster,Water,Water-091Cloyster.png
134,#091,Cloyster,Ice,Ice-091Cloyster.png
135,#092,Gastly,Ghost,Ghost-092Gastly.png
136,#092,Gastly,Poison,Poison-092Gastly.png
137,#093,Haunter,Ghost,Ghost-093Haunter.png
138,#093,Haunter,Poison,Poison-093Haunter.png
139,#094,Gengar,Ghost,Ghost-094Gengar.png
140,#094,Gengar,Poison,Poison-094Gengar.png
141,#095,Onix,Rock,Rock-095Onix.png
142,#095,Onix,Ground,Ground-095Onix.png
143,#096,Drowzee,Psychic,Psychic-096Drowzee.png
144,#097,Hypno,Psychic,Psychic-097Hypno.png
145,#098,Krabby,Water,Water-098Krabby.png
146,#099,Kingler,Water,Water-099Kingler.png
147,#100,Voltorb,Electric,Electric-100Voltorb.png
148,#101,Electrode,Electric,Electric-101Electrode.png
149,#102,Exeggcute,Grass,Grass-102Exeggcute.png
150,#102,Exeggcute,Psychic,Psychic-102Exeggcute.png
151,#103,Exeggutor,Grass,Grass-103Exeggutor.png
152,#103,Exeggutor,Psychic,Psychic-103Exeggutor.png
153,#104,Cubone,Ground,Ground-104Cubone.png
154,#105,Marowak,Ground,Ground-105Marowak.png
155,#106,Hitmonlee,Fighting,Fighting-106Hitmonlee.png
156,#107,Hitmonchan,Fighting,Fighting-107Hitmonchan.png
157,#108,Lickitung,Normal,Normal-108Lickitung.png
158,#109,Koffing,Poison,Poison-109Koffing.png
159,#110,Weezing,Poison,Poison-110Weezing.png
160,#111,Rhyhorn,Ground,Ground-111Rhyhorn.png
161,#111,Rhyhorn,Rock,Rock-111Rhyhorn.png
162,#112,Rhydon,Ground,Ground-112Rhydon.png
163,#112,Rhydon,Rock,Rock-112Rhydon.png
164,#113,Chansey,Normal,Normal-113Chansey.png
165,#114,Tangela,Grass,Grass-114Tangela.png
166,#115,Kangaskhan,Normal,Normal-115Kangaskhan.png
167,#116,Horsea,Water,Water-116Horsea.png
168,#117,Seadra,Water,Water-117Seadra.png
169,#118,Goldeen,Water,Water-118Goldeen.png
170,#119,Seaking,Water,Water-119Seaking.png
171,#120,Staryu,Water,Water-120Staryu.png
172,#121,Starmie,Water,Water-121Starmie.png
173,#121,Starmie,Psychic,Psychic-121Starmie.png
174,#122,Mr. Mime,Psychic,Psychic-122Mr._Mime.png
175,#122,Mr. Mime,Fairy,Fairy-122Mr._Mime.png
176,#123,Scyther,Bug,Bug-123Scyther.png
177,#123,Scyther,Flying,Flying-123Scyther.png
178,#124,Jynx,Ice,Ice-124Jynx.png
179,#124,Jynx,Psychic,Psychic-124Jynx.png
180,#125,Electabuzz,Electric,Electric-125Electabuzz.png
181,#126,Magmar,Fire,Fire-126Magmar.png
182,#127,Pinsir,Bug,Bug-127Pinsir.png
183,#128,Tauros,Normal,Normal-128Tauros.png
184,#129,Magikarp,Water,Water-129Magikarp.png
185,#130,Gyarados,Water,Water-130Gyarados.png
186,#130,Gyarados,Flying,Flying-130Gyarados.png
187,#131,Lapras,Water,Water-131Lapras.png
188,#131,Lapras,Ice,Ice-131Lapras.png
189,#132,Ditto,Normal,Normal-132Ditto.png
190,#133,Eevee,Normal,Normal-133Eevee.png
191,#134,Vaporeon,Water,Water-134Vaporeon.png
192,#135,Jolteon,Electric,Electric-135Jolteon.png
193,#136,Flareon,Fire,Fire-136Flareon.png
194,#137,Porygon,Normal,Normal-137Porygon.png
195,#138,Omanyte,Rock,Rock-138Omanyte.png
196,#138,Omanyte,Water,Water-138Omanyte.png
197,#139,Omastar,Rock,Rock-139Omastar.png
198,#139,Omastar,Water,Water-139Omastar.png
199,#140,Kabuto,Rock,Rock-140Kabuto.png
200,#140,Kabuto,Water,Water-140Kabuto.png
201,#141,Kabutops,Rock,Rock-141Kabutops.png
202,#141,Kabutops,Water,Water-141Kabutops.png
203,#142,Aerodactyl,Rock,Rock-142Aerodactyl.png
204,#142,Aerodactyl,Flying,Flying-142Aerodactyl.png
205,#143,Snorlax,Normal,Normal-143Snorlax.png
206,#144,Articuno,Ice,Ice-144Articuno.png
207,#144,Articuno,Flying,Flying-144Articuno.png
208,#145,Zapdos,Electric,Electric-145Zapdos.png
209,#145,Zapdos,Flying,Flying-145Zapdos.png
210,#146,Moltres,Fire,Fire-146Moltres.png
211,#146,Moltres,Flying,Flying-146Moltres.png
212,#147,Dratini,Dragon,Dragon-147Dratini.png
213,#148,Dragonair,Dragon,Dragon-148Dragonair.png
214,#149,Dragonite,Dragon,Dragon-149Dragonite.png
215,#149,Dragonite,Flying,Flying-149Dragonite.png
216,#150,Mewtwo,Psychic,Psychic-150Mewtwo.png
217,#151,Mew,Psychic,Psychic-151Mew.png
218,#152,Chikorita,Grass,Grass-152Chikorita.png
219,#153,Bayleef,Grass,Grass-153Bayleef.png
220,#154,Meganium,Grass,Grass-154Meganium.png
221,#155,Cyndaquil,Fire,Fire-155Cyndaquil.png
222,#156,Quilava,Fire,Fire-156Quilava.png
223,#157,Typhlosion,Fire,Fire-157Typhlosion.png
224,#158,Totodile,Water,Water-158Totodile.png
225,#159,Croconaw,Water,Water-159Croconaw.png
226,#160,Feraligatr,Water,Water-160Feraligatr.png
227,#161,Sentret,Normal,Normal-161Sentret.png
228,#162,Furret,Normal,Normal-162Furret.png
229,#163,Hoothoot,Normal,Normal-163Hoothoot.png
230,#163,Hoothoot,Flying,Flying-163Hoothoot.png
231,#164,Noctowl,Normal,Normal-164Noctowl.png
232,#164,Noctowl,Flying,Flying-164Noctowl.png
233,#165,Ledyba,Bug,Bug-165Ledyba.png
234,#165,Ledyba,Flying,Flying-165Ledyba.png
235,#166,Ledian,Bug,Bug-166Ledian.png
236,#166,Ledian,Flying,Flying-166Ledian.png
237,#167,Spinarak,Bug,Bug-167Spinarak.png
238,#167,Spinarak,Poison,Poison-167Spinarak.png
239,#168,Ariados,Bug,Bug-168Ariados.png
240,#168,Ariados,Poison,Poison-168Ariados.png
241,#169,Crobat,Poison,Poison-169Crobat.png
242,#169,Crobat,Flying,Flying-169Crobat.png
243,#170,Chinchou,Water,Water-170Chinchou.png
244,#170,Chinchou,Electric,Electric-170Chinchou.png
245,#171,Lanturn,Water,Water-171Lanturn.png
246,#171,Lanturn,Electric,Electric-171Lanturn.png
247,#172,Pichu,Electric,Electric-172Pichu.png
248,#173,Cleffa,Fairy,Fairy-173Cleffa.png
249,#174,Igglybuff,Normal,Normal-174Igglybuff.png
250,#174,Igglybuff,Fairy,Fairy-174Igglybuff.png
251,#175,Togepi,Fairy,Fairy-175Togepi.png
252,#176,Togetic,Fairy,Fairy-176Togetic.png
253,#176,Togetic,Flying,Flying-176Togetic.png
254,#177,Natu,Psychic,Psychic-177Natu.png
255,#177,Natu,Flying,Flying-177Natu.png
256,#178,Xatu,Psychic,Psychic-178Xatu.png
257,#178,Xatu,Flying,Flying-178Xatu.png
258,#179,Mareep,Electric,Electric-179Mareep.png
259,#180,Flaaffy,Electric,Electric-180Flaaffy.png
260,#181,Ampharos,Electric,Electric-181Ampharos.png
261,#182,Bellossom,Grass,Grass-182Bellossom.png
262,#183,Marill,Water,Water-183Marill.png
263,#183,Marill,Fairy,Fairy-183Marill.png
264,#184,Azumarill,Water,Water-184Azumarill.png
265,#184,Azumarill,Fairy,Fairy-184Azumarill.png
266,#185,Sudowoodo,Rock,Rock-185Sudowoodo.png
267,#186,Politoed,Water,Water-186Politoed.png
268,#187,Hoppip,Grass,Grass-187Hoppip.png
269,#187,Hoppip,Flying,Flying-187Hoppip.png
270,#188,Skiploom,Grass,Grass-188Skiploom.png
271,#188,Skiploom,Flying,Flying-188Skiploom.png
272,#189,Jumpluff,Grass,Grass-189Jumpluff.png
273,#189,Jumpluff,Flying,Flying-189Jumpluff.png
274,#190,Aipom,Normal,Normal-190Aipom.png
275,#191,Sunkern,Grass,Grass-191Sunkern.png
276,#192,Sunflora,Grass,Grass-192Sunflora.png
277,#193,Yanma,Bug,Bug-193Yanma.png
278,#193,Yanma,Flying,Flying-193Yanma.png
279,#194,Wooper,Water,Water-194Wooper.png
280,#194,Wooper,Ground,Ground-194Wooper.png
281,#195,Quagsire,Water,Water-195Quagsire.png
282,#195,Quagsire,Ground,Ground-195Quagsire.png
283,#196,Espeon,Psychic,Psychic-196Espeon.png
284,#197,Umbreon,Dark,Dark-197Umbreon.png
285,#198,Murkrow,Dark,Dark-198Murkrow.png
286,#198,Murkrow,Flying,Flying-198Murkrow.png
287,#199,Slowking,Water,Water-199Slowking.png
288,#199,Slowking,Psychic,Psychic-199Slowking.png
289,#200,Misdreavus,Ghost,Ghost-200Misdreavus.png
290,#201,Unown,Psychic,Psychic-201Unown.png
291,#202,Wobbuffet,Psychic,Psychic-202Wobbuffet.png
292,#203,Girafarig,Normal,Normal-203Girafarig.png
293,#203,Girafarig,Psychic,Psychic-203Girafarig.png
294,#204,Pineco,Bug,Bug-204Pineco.png
295,#205,Forretress,Bug,Bug-205Forretress.png
296,#205,Forretress,Steel,Steel-205Forretress.png
297,#206,Dunsparce,Normal,Normal-206Dunsparce.png
298,#207,Gligar,Ground,Ground-207Gligar.png
299,#207,Gligar,Flying,Flying-207Gligar.png
300,#208,Steelix,Steel,Steel-208Steelix.png
301,#208,Steelix,Ground,Ground-208Steelix.png
302,#209,Snubbull,Fairy,Fairy-209Snubbull.png
303,#210,Granbull,Fairy,Fairy-210Granbull.png
304,#211,Qwilfish,Water,Water-211Qwilfish.png
305,#211,Qwilfish,Poison,Poison-211Qwilfish.png
306,#212,Scizor,Bug,Bug-212Scizor.png
307,#212,Scizor,Steel,Steel-212Scizor.png
308,#213,Shuckle,Bug,Bug-213Shuckle.png
309,#213,Shuckle,Rock,Rock-213Shuckle.png
310,#214,Heracross,Bug,Bug-214Heracross.png
311,#214,Heracross,Fighting,Fighting-214Heracross.png
312,#215,Sneasel,Dark,Dark-215Sneasel.png
313,#215,Sneasel,Ice,Ice-215Sneasel.png
314,#216,Teddiursa,Normal,Normal-216Teddiursa.png
315,#217,Ursaring,Normal,Normal-217Ursaring.png
316,#218,Slugma,Fire,Fire-218Slugma.png
317,#219,Magcargo,Fire,Fire-219Magcargo.png
318,#219,Magcargo,Rock,Rock-219Magcargo.png
319,#220,Swinub,Ice,Ice-220Swinub.png
320,#220,Swinub,Ground,Ground-220Swinub.png
321,#221,Piloswine,Ice,Ice-221Piloswine.png
322,#221,Piloswine,Ground,Ground-221Piloswine.png
323,#222,Corsola,Water,Water-222Corsola.png
324,#222,Corsola,Rock,Rock-222Corsola.png
325,#223,Remoraid,Water,Water-223Remoraid.png
326,#224,Octillery,Water,Water-224Octillery.png
327,#225,Delibird,Ice,Ice-225Delibird.png
328,#225,Delibird,Flying,Flying-225Delibird.png
329,#226,Mantine,Water,Water-226Mantine.png
330,#226,Mantine,Flying,Flying-226Mantine.png
331,#227,Skarmory,Steel,Steel-227Skarmory.png
332,#227,Skarmory,Flying,Flying-227Skarmory.png
333,#228,Houndour,Dark,Dark-228Houndour.png
334,#228,Houndour,Fire,Fire-228Houndour.png
335,#229,Houndoom,Dark,Dark-229Houndoom.png
336,#229,Houndoom,Fire,Fire-229Houndoom.png
337,#230,Kingdra,Water,Water-230Kingdra.png
338,#230,Kingdra,Dragon,Dragon-230Kingdra.png
339,#231,Phanpy,Ground,Ground-231Phanpy.png
340,#232,Donphan,Ground,Ground-232Donphan.png
341,#233,Porygon2,Normal,Normal-233Porygon2.png
342,#234,Stantler,Normal,Normal-234Stantler.png
343,#235,Smeargle,Normal,Normal-235Smeargle.png
344,#236,Tyrogue,Fighting,Fighting-236Tyrogue.png
345,#237,Hitmontop,Fighting,Fighting-237Hitmontop.png
346,#238,Smoochum,Ice,Ice-238Smoochum.png
347,#238,Smoochum,Psychic,Psychic-238Smoochum.png
348,#239,Elekid,Electric,Electric-239Elekid.png
349,#240,Magby,Fire,Fire-240Magby.png
350,#241,Miltank,Normal,Normal-241Miltank.png
351,#242,Blissey,Normal,Normal-242Blissey.png
352,#243,Raikou,Electric,Electric-243Raikou.png
353,#244,Entei,Fire,Fire-244Entei.png
354,#245,Suicune,Water,Water-245Suicune.png
355,#246,Larvitar,Rock,Rock-246Larvitar.png
356,#246,Larvitar,Ground,Ground-246Larvitar.png
357,#247,Pupitar,Rock,Rock-247Pupitar.png
358,#247,Pupitar,Ground,Ground-247Pupitar.png
359,#248,Tyranitar,Rock,Rock-248Tyranitar.png
360,#248,Tyranitar,Dark,Dark-248Tyranitar.png
361,#249,Lugia,Psychic,Psychic-249Lugia.png
362,#249,Lugia,Flying,Flying-249Lugia.png
363,#250,Ho-Oh,Fire,Fire-250Ho-Oh.png
364,#250,Ho-Oh,Flying,Flying-250Ho-Oh.png
365,#251,Celebi,Psychic,Psychic-251Celebi.png
366,#251,Celebi,Grass,Grass-251Celebi.png
367,#252,Treecko,Grass,Grass-252Treecko.png
368,#253,Grovyle,Grass,Grass-253Grovyle.png
369,#254,Sceptile,Grass,Grass-254Sceptile.png
370,#255,Torchic,Fire,Fire-255Torchic.png
371,#256,Combusken,Fire,Fire-256Combusken.png
372,#256,Combusken,Fighting,Fighting-256Combusken.png
373,#257,Blaziken,Fire,Fire-257Blaziken.png
374,#257,Blaziken,Fighting,Fighting-257Blaziken.png
375,#258,Mudkip,Water,Water-258Mudkip.png
376,#259,Marshtomp,Water,Water-259Marshtomp.png
377,#259,Marshtomp,Ground,Ground-259Marshtomp.png
378,#260,Swampert,Water,Water-260Swampert.png
379,#260,Swampert,Ground,Ground-260Swampert.png
380,#261,Poochyena,Dark,Dark-261Poochyena.png
381,#262,Mightyena,Dark,Dark-262Mightyena.png
382,#263,Zigzagoon,Normal,Normal-263Zigzagoon.png
383,#264,Linoone,Normal,Normal-264Linoone.png
384,#265,Wurmple,Bug,Bug-265Wurmple.png
385,#266,Silcoon,Bug,Bug-266Silcoon.png
386,#267,Beautifly,Bug,Bug-267Beautifly.png
387,#267,Beautifly,Flying,Flying-267Beautifly.png
388,#268,Cascoon,Bug,Bug-268Cascoon.png
389,#269,Dustox,Bug,Bug-269Dustox.png
390,#269,Dustox,Poison,Poison-269Dustox.png
391,#270,Lotad,Water,Water-270Lotad.png
392,#270,Lotad,Grass,Grass-270Lotad.png
393,#271,Lombre,Water,Water-271Lombre.png
394,#271,Lombre,Grass,Grass-271Lombre.png
395,#272,Ludicolo,Water,Water-272Ludicolo.png
396,#272,Ludicolo,Grass,Grass-272Ludicolo.png
397,#273,Seedot,Grass,Grass-273Seedot.png
398,#274,Nuzleaf,Grass,Grass-274Nuzleaf.png
399,#274,Nuzleaf,Dark,Dark-274Nuzleaf.png
400,#275,Shiftry,Grass,Grass-275Shiftry.png
401,#275,Shiftry,Dark,Dark-275Shiftry.png
402,#276,Taillow,Normal,Normal-276Taillow.png
403,#276,Taillow,Flying,Flying-276Taillow.png
404,#277,Swellow,Normal,Normal-277Swellow.png
405,#277,Swellow,Flying,Flying-277Swellow.png
406,#278,Wingull,Water,Water-278Wingull.png
407,#278,Wingull,Flying,Flying-278Wingull.png
408,#279,Pelipper,Water,Water-279Pelipper.png
409,#279,Pelipper,Flying,Flying-279Pelipper.png
410,#280,Ralts,Psychic,Psychic-280Ralts.png
411,#280,Ralts,Fairy,Fairy-280Ralts.png
412,#281,Kirlia,Psychic,Psychic-281Kirlia.png
413,#281,Kirlia,Fairy,Fairy-281Kirlia.png
414,#282,Gardevoir,Psychic,Psychic-282Gardevoir.png
415,#282,Gardevoir,Fairy,Fairy-282Gardevoir.png
416,#283,Surskit,Bug,Bug-283Surskit.png
417,#283,Surskit,Water,Water-283Surskit.png
418,#284,Masquerain,Bug,Bug-284Masquerain.png
419,#284,Masquerain,Flying,Flying-284Masquerain.png
420,#285,Shroomish,Grass,Grass-285Shroomish.png
421,#286,Breloom,Grass,Grass-286Breloom.png
422,#286,Breloom,Fighting,Fighting-286Breloom.png
423,#287,Slakoth,Normal,Normal-287Slakoth.png
424,#288,Vigoroth,Normal,Normal-288Vigoroth.png
425,#289,Slaking,Normal,Normal-289Slaking.png
426,#290,Nincada,Bug,Bug-290Nincada.png
427,#290,Nincada,Ground,Ground-290Nincada.png
428,#291,Ninjask,Bug,Bug-291Ninjask.png
429,#291,Ninjask,Flying,Flying-291Ninjask.png
430,#292,Shedinja,Bug,Bug-292Shedinja.png
431,#292,Shedinja,Ghost,Ghost-292Shedinja.png
432,#293,Whismur,Normal,Normal-293Whismur.png
433,#294,Loudred,Normal,Normal-294Loudred.png
434,#295,Exploud,Normal,Normal-295Exploud.png
435,#296,Makuhita,Fighting,Fighting-296Makuhita.png
436,#297,Hariyama,Fighting,Fighting-297Hariyama.png
437,#298,Azurill,Normal,Normal-298Azurill.png
438,#298,Azurill,Fairy,Fairy-298Azurill.png
439,#299,Nosepass,Rock,Rock-299Nosepass.png
440,#300,Skitty,Normal,Normal-300Skitty.png
441,#301,Delcatty,Normal,Normal-301Delcatty.png
442,#302,Sableye,Dark,Dark-302Sableye.png
443,#302,Sableye,Ghost,Ghost-302Sableye.png
444,#303,Mawile,Steel,Steel-303Mawile.png
445,#303,Mawile,Fairy,Fairy-303Mawile.png
446,#304,Aron,Steel,Steel-304Aron.png
447,#304,Aron,Rock,Rock-304Aron.png
448,#305,Lairon,Steel,Steel-305Lairon.png
449,#305,Lairon,Rock,Rock-305Lairon.png
450,#306,Aggron,Steel,Steel-306Aggron.png
451,#306,Aggron,Rock,Rock-306Aggron.png
452,#307,Meditite,Fighting,Fighting-307Meditite.png
453,#307,Meditite,Psychic,Psychic-307Meditite.png
454,#308,Medicham,Fighting,Fighting-308Medicham.png
455,#308,Medicham,Psychic,Psychic-308Medicham.png
456,#309,Electrike,Electric,Electric-309Electrike.png
457,#310,Manectric,Electric,Electric-310Manectric.png
458,#311,Plusle,Electric,Electric-311Plusle.png
459,#312,Minun,Electric,Electric-312Minun.png
460,#313,Volbeat,Bug,Bug-313Volbeat.png
461,#314,Illumise,Bug,Bug-314Illumise.png
462,#315,Roselia,Grass,Grass-315Roselia.png
463,#315,Roselia,Poison,Poison-315Roselia.png
464,#316,Gulpin,Poison,Poison-316Gulpin.png
465,#317,Swalot,Poison,Poison-317Swalot.png
466,#318,Carvanha,Water,Water-318Carvanha.png
467,#318,Carvanha,Dark,Dark-318Carvanha.png
468,#319,Sharpedo,Water,Water-319Sharpedo.png
469,#319,Sharpedo,Dark,Dark-319Sharpedo.png
470,#320,Wailmer,Water,Water-320Wailmer.png
471,#321,Wailord,Water,Water-321Wailord.png
472,#322,Numel,Fire,Fire-322Numel.png
473,#322,Numel,Ground,Ground-322Numel.png
474,#323,Camerupt,Fire,Fire-323Camerupt.png
475,#323,Camerupt,Ground,Ground-323Camerupt.png
476,#324,Torkoal,Fire,Fire-324Torkoal.png
477,#325,Spoink,Psychic,Psychic-325Spoink.png
478,#326,Grumpig,Psychic,Psychic-326Grumpig.png
479,#327,Spinda,Normal,Normal-327Spinda.png
480,#328,Trapinch,Ground,Ground-328Trapinch.png
481,#329,Vibrava,Ground,Ground-329Vibrava.png
482,#329,Vibrava,Dragon,Dragon-329Vibrava.png
483,#330,Flygon,Ground,Ground-330Flygon.png
484,#330,Flygon,Dragon,Dragon-330Flygon.png
485,#331,Cacnea,Grass,Grass-331Cacnea.png
486,#332,Cacturne,Grass,Grass-332Cacturne.png
487,#332,Cacturne,Dark,Dark-332Cacturne.png
488,#333,Swablu,Normal,Normal-333Swablu.png
489,#333,Swablu,Flying,Flying-333Swablu.png
490,#334,Altaria,Dragon,Dragon-334Altaria.png
491,#334,Altaria,Flying,Flying-334Altaria.png
492,#335,Zangoose,Normal,Normal-335Zangoose.png
493,#336,Seviper,Poison,Poison-336Seviper.png
494,#337,Lunatone,Rock,Rock-337Lunatone.png
495,#337,Lunatone,Psychic,Psychic-337Lunatone.png
496,#338,Solrock,Rock,Rock-338Solrock.png
497,#338,Solrock,Psychic,Psychic-338Solrock.png
498,#339,Barboach,Water,Water-339Barboach.png
499,#339,Barboach,Ground,Ground-339Barboach.png
500,#340,Whiscash,Water,Water-340Whiscash.png
501,#340,Whiscash,Ground,Ground-340Whiscash.png
502,#341,Corphish,Water,Water-341Corphish.png
503,#342,Crawdaunt,Water,Water-342Crawdaunt.png
504,#342,Crawdaunt,Dark,Dark-342Crawdaunt.png
505,#343,Baltoy,Ground,Ground-343Baltoy.png
506,#343,Baltoy,Psychic,Psychic-343Baltoy.png
507,#344,Claydol,Ground,Ground-344Claydol.png
